step,system_mean_speed,0_average_speed,0_queue_length
436.0,"(8.29080061016617,)",0.38758807964380376,6
437.0,"(8.49155129118905,)",0.39680152155386794,6
438.0,"(8.797380873577687,)",0.4105533816154107,6
439.0,"(8.877205463489892,)",0.4154165557221576,6
441.0,"(8.10727048858425,)",0.3851689466160422,11
442.0,"(8.422893548332516,)",0.4038604029572691,9
443.0,"(8.367227360460362,)",0.40029939950279897,9
444.0,"(8.630422187994673,)",0.4080070489796221,10
445.0,"(8.295767246920539,)",0.39586786290453585,10
446.0,"(8.283393294054322,)",0.40016615691249185,10
447.0,"(7.3389159581376555,)",0.35878436127831,10
448.0,"(6.811939402104357,)",0.3371232642232375,10
449.0,"(5.458230635887825,)",0.2674170804387857,12
451.0,"(5.687976719772033,)",0.2778553300592049,8
452.0,"(6.270535094169572,)",0.3039960770232925,8
453.0,"(6.884178935915412,)",0.33107309623591796,8
454.0,"(7.5655600018534495,)",0.3611951704815078,8
455.0,"(8.209660751715395,)",0.38814825827048893,8
456.0,"(8.67319851203397,)",0.40792865942169776,9
457.0,"(8.699040959108626,)",0.4065211030113265,9
458.0,"(8.686177432493766,)",0.39777138323057554,9
459.0,"(8.598857510619341,)",0.39335647138822555,10
461.0,"(6.970994114550657,)",0.31775727098050427,16
462.0,"(6.219306704117371,)",0.2832887218832104,12
463.0,"(5.724552609639206,)",0.2611653409801295,12
464.0,"(6.069853331929702,)",0.280536933999235,9
465.0,"(5.429059417786055,)",0.2588873648960417,12
466.0,"(6.112180351529248,)",0.2935750927064482,7
467.0,"(5.501239396316709,)",0.26383332243766866,7
468.0,"(6.000094165770475,)",0.2933177310716642,7
469.0,"(6.5074008633205604,)",0.31599076555218986,7
471.0,"(7.707422136631483,)",0.34719752363840495,7
472.0,"(8.158727034481082,)",0.3774734656950427,8
473.0,"(8.259969643843055,)",0.3775468915978272,8
474.0,"(8.632393018215932,)",0.39248505541812045,9
475.0,"(8.854354201679742,)",0.41341149205976924,9
476.0,"(8.762176930228925,)",0.39047776667525236,9
477.0,"(8.593817594714293,)",0.3813939507742035,10
478.0,"(8.259681469845011,)",0.3648321654669297,10
479.0,"(7.411701599110417,)",0.3234499836843626,10
481.0,"(5.064715439717439,)",0.2195180178125975,14
482.0,"(4.118184105356862,)",0.1800964472808104,10
483.0,"(4.027413954405477,)",0.18681458793352518,8
484.0,"(4.233052245526092,)",0.2118825024516303,8
485.0,"(4.232348055406093,)",0.21129228238427122,10
486.0,"(4.657828388588292,)",0.20704524998832122,8
487.0,"(5.082077426004872,)",0.23736913502721374,8
488.0,"(5.6032231734637366,)",0.2636907180331251,9
489.0,"(5.770915174665429,)",0.2720688597050755,11
491.0,"(7.015046523381672,)",0.3257653558529691,9
492.0,"(7.814017897809553,)",0.3623596301969649,10
493.0,"(8.88653387076427,)",0.41156319298823046,10
494.0,"(9.346086311653082,)",0.4297268892836347,10
495.0,"(9.894822453434317,)",0.4548427673807497,10
496.0,"(10.23769407232582,)",0.470402932378432,10
497.0,"(9.186335515216678,)",0.4280734930541483,11
498.0,"(9.415071342282346,)",0.4500893145868057,4
499.0,"(9.64234777882102,)",0.46291620811153733,4
501.0,"(8.854118779293197,)",0.40853142583215013,8
502.0,"(9.108024202365051,)",0.4216976477194688,4
503.0,"(9.449054797186882,)",0.4388423719035235,4
504.0,"(9.480548067761381,)",0.43822468399477044,4
505.0,"(9.409222277148032,)",0.42489133532829754,5
506.0,"(9.594115002827271,)",0.44410320775289613,6
507.0,"(9.249991840088583,)",0.4286800225795613,7
508.0,"(8.5690280287274,)",0.3945907376073086,7
